t,f,solution,step
2.828362464904785,46.387196178603624,0,27
3.271711587905884,51.40025660386964,15,173
3.7534162998199463,78.82409447087358,32,330
4.938291549682617,117.32387469772165,69,773
6.507916450500488,132.24571325186713,102,1209
11.265917539596558,245.36023823594402,224,3036
47.896427631378174,255.6872947532449,928,19576
85.14321732521057,972.7876426328291,1530,37914
117.28873705863953,1010.1646331052763,2022,57587
139.28995728492737,1015.81169066806,2295,72856
187.44875836372375,1027.1132265368306,2869,105645
201.43041682243347,1036.999966222321,3007,117660
602.8077833652496,1038.3057129726437,4816,472851
875.419540643692,1038.3057129726437,5319,675236
