t,f,solution,step
2.7124359607696533,18.266822827286255,0,1
2.7562761306762695,45.62165709567239,1,5
2.872020721435547,54.99788904208911,5,13
2.933180570602417,55.298896706565785,7,21
3.1087024211883545,64.43917749230724,13,36
3.3082950115203857,92.23318694059651,20,51
4.138167142868042,111.00010320944874,52,135
32.98303270339966,148.10501001703958,919,2154
44.42335844039917,156.4469460706153,1230,3144
71.11429047584534,166.44264316376496,2019,6505
82.97407960891724,175.44172969328866,2321,8092
92.10426211357117,211.9431183879713,2589,9551
185.27906584739685,222.54459157849104,5188,24420
200.01872158050537,222.54459157849104,5602,26965
