t,f,solution,step
5.175500154495239,-118.21746603641482,0,42
7.266709566116333,-56.617509755272735,4,942
8.028989553451538,-40.81464593578459,6,1280
8.819920539855957,-32.68138796428482,10,1593
11.379687070846558,-28.528508968815164,21,2592
17.668981790542603,-24.831581434300936,39,4093
23.929893016815186,-18.560640126203886,62,5159
44.561901807785034,-18.406151638069403,152,10922
54.519920349121094,-16.178224493271337,185,15086
98.05081534385681,-15.200906878494196,459,36372
115.06699085235596,-14.251399699879226,578,44027
422.88857769966125,-13.142605989975827,1918,127548
750.0137975215912,-13.142605989975827,3948,205044
