t,f,solution,step
3.319173574447632,-37.91042371498328,0,999
3.956711530685425,7.790469910072899,1,1998
4.604830265045166,12.798324796735244,2,2997
6.577691078186035,30.31010952260685,5,5994
12.525579690933228,43.66466646319904,15,15984
22.668875694274902,44.43431768908522,31,31968
26.331014156341553,81.55139884907068,37,37962
247.71287941932678,87.41474939394513,394,394605
432.14588260650635,89.3712248820619,690,690309
614.5237193107605,108.80681091101161,979,979020
1375.3614003658295,108.80681091101161,2186,2183814
