t,f,solution,step
2.961519718170166,5.004949106050735,0,5
3.0648136138916016,5.693487755940183,3,23
3.1452810764312744,7.196837897167521,5,40
3.233342170715332,18.234980455390914,7,73
3.688237190246582,21.081365934931092,20,196
3.879861354827881,66.17242142581682,24,260
4.151782274246216,94.91514439596165,31,397
10.8501296043396,147.7358235178526,203,2469
23.742740154266357,157.01273063909193,497,7626
27.01072931289673,164.03928090497246,563,9065
27.118687629699707,169.30630113410476,564,9151
33.12993812561035,188.44399429319915,671,12036
51.28330898284912,362.8901426109578,1017,20821
64.07239198684692,424.2305381015604,1220,26112
72.8416690826416,519.1328428081507,1377,31646
81.63932394981384,941.1978827327417,1517,36886
214.90174102783203,968.5535012762836,3312,133415
270.1512928009033,980.5600642058828,3845,185123
290.2445595264435,1033.8031293120982,4007,204206
875.3315615653992,1033.8031293120982,6829,844887
