t,f,solution,step
1.5957462787628174,5.0,0,4801
38.21601152420044,7.17202091217041,1,9602
110.45943832397461,12.790579795837402,42,53321
2688.438367128372,13.232455253601074,828,2447696
2886.1568999290466,13.321318626403809,894,2702414
3184.3963527679443,17.29985237121582,980,3080353
4117.81859087944,19.381431579589844,1268,4270487
4126.641481637955,22.169546127319336,1271,4281832
4263.9265785217285,23.11448860168457,1342,4458463
4434.093674659729,23.762250900268555,1428,4676811
4684.919620275497,23.819602966308594,1539,4998720
4763.598783731461,23.833698272705078,1582,5099508
5046.616121768951,23.853225708007812,1679,5462599
5172.014854669571,23.867019653320312,1715,5623482
5386.109120845795,23.969905853271484,1779,5895779
5869.537823677063,24.158859252929688,1912,6516990
5884.499830245972,24.294296264648438,1916,6536194
7203.0562443733215,24.294296264648438,2326,8224016
