t,f,solution,step
4.3217620849609375,-34.33633328865944,0,11
4.458181858062744,-24.366871539369445,2,55
41.76125741004944,-23.36355376428876,154,25638
77.06915879249573,-22.977054374548327,281,51412
113.56697964668274,-22.160020728999527,391,77941
120.37500381469727,-22.053822638094545,406,82104
148.65429306030273,-20.983218651213313,486,94624
152.12873697280884,-18.572688080435704,498,96915
199.08930325508118,-15.384370929273599,693,128353
485.734183549881,-14.543168457582242,1544,283866
738.8278360366821,-14.347344129667414,2532,403501
750.3427131175995,-14.347344129667414,2606,409621
