t,f,solution,step
46.20558452606201,4.314126491546631,0,4801
48.916502475738525,5.273188591003418,1,9602
58.24457836151123,5.288420677185059,2,14403
105.96104311943054,5.932901859283447,7,20222
160.6092050075531,6.974191188812256,22,29041
197.5538821220398,7.4146223068237305,40,38005
212.4751386642456,7.640223026275635,56,42071
237.86957931518555,27.0007266998291,100,57783
923.1965034008026,31.095584869384766,556,260930
1005.9729075431824,33.23590850830078,611,298161
7200.485827207565,33.23590850830078,4210,3474029
