t,f,solution,step
3.9323172569274902,3.9237401485443115,0,4801
35.86115527153015,5.311392307281494,1,9602
47.206559896469116,8.648653030395508,2,14403
84.01950168609619,8.784757614135742,38,24352
158.15205574035645,9.021435737609863,131,48379
251.47544288635254,23.845108032226562,163,62671
277.1644289493561,23.993816375732422,171,66668
2224.8758025169373,24.186758041381836,421,289474
2990.633450269699,24.333690643310547,582,372375
3019.2750074863434,24.457054138183594,587,375454
4735.382260799408,24.53952980041504,802,560254
5973.322776794434,24.896772384643555,912,693158
7070.907163619995,25.030126571655273,1006,811520
7204.261075496674,25.030126571655273,1018,825855
