t,f,solution,step
0.9732520580291748,-1233.5398048235954,0,199
1.3797690868377686,-1076.8245568519285,2,597
1.5122811794281006,-956.0208087666219,3,796
2.3665287494659424,-950.4984939339596,6,2141
6.7081520557403564,-910.0409816441354,16,8662
15.374711036682129,-842.650627112129,26,20633
23.413714170455933,-834.1178604686218,32,31774
25.40504240989685,-722.8501133468498,33,34427
103.61409258842468,-717.3960462633399,35,125871
104.02451968193054,-385.0564669862536,37,126429
208.90493774414062,-4.043215374401877,38,239960
250.01796007156372,-4.043215374401877,40,276412
