t,f,solution,step
2.779771327972412,18.27059462121361,0,1
2.8166966438293457,18.28024200323544,1,2
2.878542184829712,46.06013929288483,3,7
2.9376380443573,46.080422651561335,5,12
3.0009543895721436,73.78599873495472,7,22
7.492892265319824,73.79501284084846,159,395
9.377561807632446,83.14063692313925,212,510
9.851258277893066,83.1551941291423,229,544
14.84453296661377,110.71100827237007,374,918
17.161450147628784,119.11986112459479,434,1061
39.21140193939209,128.78589216741395,1085,2824
52.196943283081055,156.0979369379001,1410,4008
61.337002992630005,166.18116386778772,1696,5244
86.72556519508362,175.1743468755058,2383,8921
88.72345280647278,185.03329658607063,2404,9045
96.40173506736755,203.07285887792906,2629,10288
194.81186151504517,221.55848854043586,5193,25456
200.02982783317566,221.55848854043586,5335,26298
