t,f,solution,step
1.6466095447540283,5.0,0,4801
31.440502643585205,7.729787826538086,3,16806
77.25848269462585,10.391688346862793,4,21607
128.42050623893738,22.522216796875,12,43614
658.7455170154572,23.28680992126465,88,222772
792.2052450180054,23.33396339416504,101,261831
877.3111023902893,24.220327377319336,107,278609
2668.6360490322113,24.408939361572266,249,666716
5525.4193379879,24.694950103759766,358,1146985
5775.486652374268,24.924863815307617,368,1194733
7231.195919036865,24.924863815307617,437,1447381
