t,f,solution,step
2.949970006942749,4.182044841876919,0,4
3.027348279953003,5.469072191118813,2,13
3.0910959243774414,21.126655818250395,3,39
3.14729642868042,32.065837628925685,4,61
3.5748283863067627,108.37531697789282,16,201
6.138797044754028,305.5597342805245,88,1363
93.655832529068,602.7983739940777,1768,42943
147.66094279289246,800.9525331881973,2568,77401
181.19716143608093,1026.7710521011206,2970,105500
326.2055959701538,1031.0662665378998,4093,247212
340.06758642196655,1048.7539423517599,4163,259986
395.29448890686035,1068.6888210431443,4443,322968
743.7176494598389,1084.714826882742,5834,721546
875.2403998374939,1084.714826882742,6215,875270
