t,f,solution,step
2.7890002727508545,45.67967613666992,0,4
2.982408285140991,55.28040085627579,8,21
3.6198320388793945,64.25391103766674,29,60
3.769099235534668,64.67830264438432,34,76
4.263911724090576,73.89670241403711,52,120
9.203378438949585,92.74319739730555,206,426
18.02579975128174,138.8669070851861,490,1052
49.27304553985596,166.66351537476604,1344,3470
53.155272483825684,184.69554073624698,1465,3952
79.9465548992157,211.77088939726764,2180,7328
163.94833087921143,230.4780804056256,4470,20478
200.49952220916748,230.4780804056256,5401,26414
