t,f,solution,step
3.4964492321014404,-691.5827932318069,0,999
6.935601472854614,-588.8849780079473,6,6993
8.052747249603271,-285.322091250284,7,8879
20.146438121795654,-51.82122699496812,19,29714
37.063762187957764,412.1551563927803,21,59339
85.8144371509552,851.2061796100569,23,136523
323.9919013977051,873.0921625440836,28,516672
384.99751687049866,1232.2054795817205,32,611703
476.1298677921295,1584.0493379042298,34,753277
775.0157551765442,1975.3583186810324,54,1219343
1125.045240163803,1975.3583186810324,213,1778522
