t,f,solution,step
2.9591851234436035,2.9736363956964027,0,10
3.7965054512023926,19.097480034560817,26,312
5.3173887729644775,98.74454219688302,72,897
7.6912524700164795,862.0080819382384,105,2157
27.72550868988037,897.4267144854156,437,13716
50.09822654724121,1001.6224797013955,677,34235
123.84791541099548,1054.189593891849,1172,107846
221.91182732582092,1060.8921076030967,1786,208498
372.14455699920654,1083.3583916820562,2591,368138
427.06963181495667,1085.0558114169469,2844,426639
1038.2961032390594,1085.3577105329553,4419,1143493
1061.5852584838867,1100.7928161045556,4463,1173403
1250.3557786941528,1100.7928161045556,4845,1399963
