t,f,solution,step
4.837862730026245,-55.58256541537125,0,18
6.165194511413574,-40.811110244971815,7,528
8.737669467926025,-26.67019072993413,19,1499
9.141560554504395,-24.982885058707417,22,1637
12.216368913650513,-20.499077992594408,38,2656
15.844261169433594,-19.630403929808597,50,3540
58.960439682006836,-17.38630465906047,201,12344
77.07184910774231,-12.16022766846216,318,17965
720.0596535205841,-11.751831477714989,3786,135305
731.2145659923553,-6.1270846462023085,3880,137547
771.2254655361176,-6.1270846462023085,3983,139845
