t,f,solution,step
2.7173819541931152,18.28027415045104,0,1
2.7905375957489014,27.16115780841228,2,4
2.904609203338623,55.274018368295195,5,11
3.177281141281128,55.32702187476929,16,34
3.9258265495300293,83.22796624627401,44,93
4.051394939422607,110.97497692365044,48,115
16.35300898551941,128.50224430164673,421,926
16.813016653060913,156.10422669272364,437,976
58.506200551986694,166.28969343084142,1607,5182
78.15361070632935,183.36846519401763,2131,8014
98.51122546195984,212.4912734276379,2706,11299
132.50274395942688,212.79057697833522,3609,16595
170.6002860069275,240.97105427389525,4647,22820
176.65004181861877,276.23636649277677,4806,23828
200.0176067352295,276.23636649277677,5434,27725
