t,f,solution,step
3.6279656887054443,-287.3977149694037,0,95
3.7144932746887207,-126.86641726655346,1,135
4.2020721435546875,-45.152525512771106,4,427
4.355278015136719,-42.28124913587626,5,501
4.621231555938721,-26.214539922760817,7,610
6.854946613311768,-26.073057484000714,25,1546
8.417066812515259,-23.736563288662513,40,2121
11.610422134399414,-23.562286220572748,60,3711
18.42324161529541,-23.072807505989715,89,5296
20.342670440673828,-19.275677692055105,109,6147
71.90867185592651,-15.821473300919958,391,22681
229.27076864242554,-14.09799873486034,1071,53916
416.0428309440613,-12.933460949773899,1959,89022
519.1340327262878,-12.262261380867812,2511,108699
665.9547514915466,-12.196921164240791,3357,132704
755.53045129776,-12.196921164240791,3895,145635
