t,f,solution,step
3.4901108741760254,-1006.9953395679527,0,999
4.198617458343506,-715.3369098719196,1,1998
4.8397276401519775,-421.8578690581478,2,2997
5.744370222091675,-311.9710276141345,3,4434
8.232548713684082,-212.64712215754437,4,8447
9.35753846168518,414.5306923021968,5,10046
10.205984830856323,1251.801664064436,6,11389
372.448917388916,1383.5966404028084,7,335729
891.9023642539978,1385.3622025652603,8,1013574
1009.7101202011108,1396.8447735352815,9,1149361
1125.1592350006104,1396.8447735352815,12,1286961
