t,f,solution,step
3.068010091781616,-5.470000024932632,0,11
3.1173501014709473,7.385855854853031,1,24
8.156285285949707,7.792850274407861,136,1808
10.912933111190796,8.988285119970666,196,2569
11.328663110733032,10.823247884629874,209,2726
11.820248126983643,253.80733591365365,219,3011
22.828470945358276,257.75424072917815,414,7031
30.198464393615723,384.55679089385495,510,11837
33.073219299316406,387.08250647351827,543,14006
37.21799159049988,461.264284186226,570,17561
167.98692631721497,508.5693689643575,1173,134808
1207.3624262809753,520.1897546238421,4970,1192692
1213.6162686347961,615.1080808509982,4992,1199378
1250.0258362293243,615.1080808509982,5107,1235354
