t,f,solution,step
2.961751937866211,4.360102212111707,0,29
3.020862579345703,8.152581795499144,1,53
5.294651031494141,43.3933011919636,64,919
6.562087059020996,141.36127173473085,98,1535
14.513842821121216,276.4202042094394,258,4653
21.144227743148804,615.2248903480179,369,8801
66.08832025527954,981.8157005958251,851,44093
138.9215533733368,995.9998999988803,1388,113063
285.0142459869385,1081.3737044929924,2241,260874
554.5250179767609,1087.3529408054806,3567,545525
713.9018127918243,1091.121540471347,4060,725853
1028.420753479004,1106.0603701651626,4733,1092057
1150.7406396865845,1128.0733857888845,4977,1234058
1250.8307330608368,1128.0733857888845,5160,1349328
