t,f,solution,step
5.353652715682983,-309.8279683959909,0,128
5.461324214935303,-115.17056171852788,1,162
5.540356159210205,-51.269721370038965,2,176
6.2398786544799805,-34.871777949081306,7,483
6.798466205596924,-30.00505622827683,11,719
11.057703733444214,-23.56409204549899,18,2953
12.291775703430176,-14.391369036563066,22,3606
260.991229057312,-13.695751250788152,981,108488
266.38228011131287,-13.059062789783091,1014,111997
674.7471151351929,-12.571144541541296,3070,258892
730.1348586082458,-11.055585694930041,3522,275603
770.5040240287781,-11.055585694930041,3684,281709
