t,f,solution,step
2.988682746887207,3.2312512491448855,0,7
3.0271987915039062,3.573273859727152,1,11
3.1467838287353516,134.6694770809296,2,118
4.583425998687744,146.35987218997997,46,607
15.245985746383667,161.84754074461014,290,5377
23.730998277664185,172.26268026470103,436,8439
34.30124115943909,227.92927491517682,642,13330
97.05760073661804,228.82110641500364,1695,47827
120.22863602638245,260.3852673611532,2001,64813
187.76226949691772,348.89395409082294,2574,120567
251.54529857635498,356.2290408501209,3009,176992
308.76876616477966,377.98384087384864,3302,232944
541.1387617588043,414.20025369871865,4352,460659
543.7194561958313,502.22155013468375,4363,463505
546.4534044265747,510.67678323686596,4374,466634
697.593640089035,600.522575581923,5098,619802
798.2464320659637,603.7680325852816,5578,725980
821.1828932762146,624.7045336786216,5669,750059
850.9430820941925,760.7615239223898,5786,781933
875.1312253475189,760.7615239223898,5887,809569
