t,f,solution,step
3.396013021469116,-516.6951355466493,0,999
8.579447507858276,-208.67068827999307,5,9002
15.91317367553711,-194.6510228260783,6,20234
17.144065141677856,-58.60263220076204,7,22380
25.27191662788391,480.01030969824427,8,33990
57.85707950592041,719.680668115308,9,78426
62.81047797203064,813.2288763040872,10,85642
68.88411736488342,964.0450356123845,11,94185
129.98524975776672,1362.7643503376826,12,174753
422.56049394607544,1491.9780265111995,17,565533
427.1191637516022,1563.5509149297673,18,572461
520.2355628013611,1564.0579079715583,32,710925
563.5242013931274,1701.4790339777187,43,777719
623.5172097682953,1843.038965363826,60,867701
776.6921091079712,1900.4115851812692,83,1098791
1125.3125166893005,1900.4115851812692,166,1635035
