t,f,solution,step
1.0681045055389404,-1528.8187283609718,0,199
1.196761131286621,-1086.372560266803,1,398
2.7222723960876465,-1047.5770311447911,12,2587
4.472907781600952,-1044.6895810009105,27,5572
5.052901983261108,-961.0424679175123,32,6567
6.8246448040008545,-843.6936297480094,47,9552
26.851099014282227,-836.1911182202145,185,40464
71.02994680404663,-792.1893226270613,490,109005
92.76749658584595,-773.0502616207585,622,142864
110.12505865097046,-718.127122501719,727,171256
120.31755900382996,-695.7750586718514,773,186376
134.39218163490295,-631.7790940132302,836,208974
160.8044993877411,-599.4703090856846,905,248247
250.08048105239868,-599.4703090856846,1091,386422
