t,f,solution,step
0.9743921756744385,-1418.8877494753474,0,199
1.5350966453552246,-1242.9797495481464,3,796
1.6631383895874023,-1211.8449845931234,4,995
2.394129991531372,-934.6782173591666,9,2214
6.403837203979492,-792.9743175293424,12,7987
8.585604667663574,-719.2251839340573,14,10971
19.28706383705139,-719.067027698164,19,24287
37.48616695404053,-642.8095209642396,24,47358
100.20825910568237,-633.5755533354612,31,119326
124.49105596542358,-605.6911532899584,33,147477
136.51144123077393,-600.4745235111644,35,161677
233.78765678405762,-599.9222513726891,40,268043
237.13935041427612,-589.9202368523291,41,271739
250.0242338180542,-589.9202368523291,43,286476
