t,f,solution,step
1.025665283203125,-1328.316124785878,0,199
2.2704944610595703,-1254.3790255985198,9,1990
2.6242995262145996,-1248.2451166935334,12,2587
3.6983046531677246,-970.2031834467234,20,4179
5.520559072494507,-895.1032317828503,34,6965
6.21350884437561,-891.5873400503591,40,8159
22.34202241897583,-859.9071353116387,167,34019
48.328019857406616,-544.00344264029,353,73397
55.82599377632141,-473.9786680234582,356,83795
153.71663069725037,-1.8865803652932223,367,208387
250.06098222732544,-1.8865803652932223,370,332486
