t,f,solution,step
4.413269758224487,-151.89971560932673,0,58
4.652925252914429,-75.72584989801517,2,170
4.745178937911987,-61.56323161106395,3,196
4.815156936645508,-31.6255171504168,4,209
5.248729944229126,-26.176354167897816,10,360
7.083597660064697,-24.394675445009977,13,1472
8.602996349334717,-20.912506446257773,18,2629
95.15145683288574,-20.38938687598532,343,63455
113.92795443534851,-18.712227544520594,415,76453
214.5847499370575,-17.914201244906515,775,140121
277.28827261924744,-16.12844234758671,959,170377
417.37739610671997,-13.602914386178746,1469,239822
556.29811668396,-13.293186535040844,2010,300366
774.9286534786224,-13.293186535040844,3001,399936
