t,f,solution,step
3.552643060684204,-770.3173899317027,0,999
4.13289475440979,-216.26937259442633,1,1998
6.582817554473877,-68.48700111414534,2,6338
18.5889732837677,546.1944912983153,3,24012
44.02129793167114,586.21228960271,4,61582
46.89367079734802,758.8600661731632,5,66230
201.861478805542,949.854343444593,6,274665
212.61359000205994,1106.4935049513833,7,290139
481.2822766304016,1357.3973969542276,10,660452
553.5165963172913,1531.7722062120401,15,763505
601.8330705165863,1721.9245960034216,19,834666
872.7953834533691,1747.9045943075678,58,1247450
883.9491896629333,1764.644110412507,61,1262397
894.9088468551636,1785.2274981488588,68,1280641
1015.125556230545,1841.965767970779,152,1473434
1125.0973703861237,1841.965767970779,248,1650773
