t,f,solution,step
39.48495435714722,0.002281723078340292,0,4119
40.93028950691223,5.0,1,8920
66.09199380874634,11.379661560058594,3,16124
147.16144967079163,12.496652603149414,19,57321
204.63258838653564,12.519224166870117,28,81588
642.6050071716309,13.427935600280762,105,263862
655.3160438537598,21.713232040405273,106,268663
886.5340552330017,24.521936416625977,127,327795
1390.440898656845,24.537269592285156,208,527737
1904.2706577777863,24.56392478942871,267,684102
2772.2323021888733,24.595664978027344,324,851730
7218.443660497665,24.595664978027344,490,1443789
