t,f,solution,step
4.371314764022827,-801.047506115889,0,999
4.941497564315796,-683.5140810737529,1,1998
5.971392393112183,-420.94153997300094,2,3585
9.732205629348755,524.9876840238448,3,7793
50.460394620895386,812.7567449048145,4,42382
352.6659812927246,957.2385686529277,5,301670
443.4615614414215,1221.6564337393775,7,400843
477.15068888664246,1241.013809964453,8,434476
538.5805127620697,1271.649511123548,9,502447
587.0924351215363,1557.5076513583197,10,555929
826.3812992572784,1680.5109372722527,11,822502
907.6238346099854,1783.1568878043192,13,915023
1107.7482113838196,1796.2348694717828,14,1141756
1125.0556728839874,1796.2348694717828,16,1160649
